Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.129903810567668,0.0749999999999997,0.0270932977125576,0,0,0,3.2226073137928,0.0258447207222559,2.887196504011E-17,1.403957110074E-17,0.0258447207222559,6.63778493939643E-18,0.04641109346427,0,0,0,0,0,0,package://robot_giua_ki/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/base_link.STL,,middle-1,Global_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar,0.02,6.41847686111419E-17,-1.73472347597681E-18,0,0,0,0.2,0.000208333333333333,5.03546777204473E-19,1.56637097196105E-22,6.83333333333334E-05,6.49708151861918E-21,0.000193333333333333,0,0,0,0,0,0,package://robot_giua_ki/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/lidar.STL,,lidar-2,lidar_cs,Axis_lidar_joint,lidar_joint,fixed,0.299807621135335,0.0712773119471236,0.055,3.14159265358979,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
gps,-0.0099999999999999,-0.0173205080756889,0,0,0,0,0.064,1.70666666666667E-05,-1.03397576569128E-22,1.26829392577992E-21,1.70666666666667E-05,-1.55254875478038E-22,1.70666666666667E-05,0,0,0,0,0,0,package://robot_giua_ki/meshes/gps.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/gps.STL,,gps-1,gps_cs,Axis_gps_joint,gps_joint,fixed,0.0449042894945412,0.222113525162613,0.0600000000000001,3.14159265358979,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
omni_1,0.0075000000000012,-0.0129903810567663,1.69309011255336E-15,0,0,0,0.208733977688543,6.59898939608469E-05,-1.46534832472991E-05,-1.74485478411936E-19,8.29102789556346E-05,5.76409229329002E-19,5.75297014634531E-05,0,0,0,0,0,0,package://robot_giua_ki/meshes/omni_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/omni_1.STL,,omni_set-1,Omni_1_cs,Omni_1_axis,omni_1_joint,revolute,0.214855715851501,0.222141016151378,0.0225,3.14159265358979,0,3.14159265358979,base_link,0.500000000000001,-0.866025403784438,0,0,0,0,0,,,,,,,,
omni_2,0.00750000000000212,0.0129903810567651,6.17561557447743E-16,0,0,0,0.208733977688543,6.59898939608472E-05,1.46534832472992E-05,1.93863838622215E-19,8.29102789556345E-05,4.26515003347655E-19,5.75297014634533E-05,0,0,0,0,0,0,package://robot_giua_ki/meshes/omni_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/omni_2.STL,,omni_set-2,Omni_2_cs,Omni_2_axis,omni_2_joint,revolute,0.2148557158515,-0.0721410161513798,0.0224999999999992,3.14159265358979,0,3.14159265358979,base_link,0.499999999999995,0.866025403784442,0,0,0,0,0,,,,,,,,
omni_3,-0.0149999999999986,-1.03476255342017E-15,-3.81639164714898E-16,0,0,0,0.208733977688544,9.13704714530289E-05,-4.89821367467156E-20,-3.91156779464444E-19,5.75297014634538E-05,-1.76685778841327E-21,5.75297014634537E-05,0,0,0,0,0,0,package://robot_giua_ki/meshes/omni_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/omni_3.STL,,omni_set-3,Omni_3_cs,Omni_3_axis,omni_3_joint,revolute,-0.0399999999999992,0.075000000000003,0.0224999999999998,3.14159265358979,0,3.14159265358979,base_link,-1,0,0,0,0,0,0,,,,,,,,
cover,-1.46410661372443E-15,7.1730815731641E-16,0.0020000000000005,0,0,0,2.2681122370942,0.0134967660959291,-4.53351516696916E-17,1.12538519924289E-18,0.0134967660959296,-2.22480767533846E-18,0.026952981665401,0,0,0,0,0,0,package://robot_giua_ki/meshes/cover.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/cover.STL,,cover-1,cover_cs,Axis_cover_joint,cover_joint,fixed,0.129903810567662,0.0749999999999939,0.0839999999999991,3.14159265358979,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
part_1,0.0482497027294832,0.023818397092888,-0.0791522181889356,0,0,0,2.19234692820186,0.0133979236376902,-0.00449290071182854,0.00756296397167591,0.020021289311462,0.00378435160377516,0.0153316672251995,0,0,0,0,0,0,package://robot_giua_ki/meshes/part_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/part_1.STL,,Part1-1,arm_base_cs,Axis_part_1_joint,part_1_joint,continuous,0,0,0,0,0,0,cover,0,0,1,,,,,,,,,,,,
part_2,0.0292458953416969,-0.0145511531922431,-0.116439924114356,0,0,0,0.777879925417372,0.0117771528786844,-0.000203932658126824,0.00164444589160438,0.0120712247911824,0.000823263798463536,0.000738512080665884,0,0,0,0,0,0,package://robot_giua_ki/meshes/part_2.STL,0.686274509803922,0.607843137254902,0.529411764705882,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/part_2.STL,,Part2-1,joint_1_cs,joint_1_axis,part_2_joint,revolute,0.103632634514604,0.124917080751846,-0.159999999999999,0,0,0,part_1,0.467367855028524,-0.884062943509135,0,0,0,0,0,,,,,,,,
part_3,0.100191636008583,0.0894075603169047,0.0774484945955882,0,0,0,0.897089336220956,0.00768759284894696,-0.0050590989736399,-0.00560651201979539,0.0126503410778878,-0.00350049610218649,0.011771041029143,0,0,0,0,0,0,package://robot_giua_ki/meshes/part_3.STL,0.686274509803922,0.607843137254902,0.529411764705882,1,0,0,0,0,0,0,package://robot_giua_ki/meshes/part_3.STL,,part3-1,joint_2_cs,joint_2_axis,part_3_joint,revolute,0.0820900774167607,-0.0516181986063883,-0.296062123147055,0,0,0,part_2,0.467367855028522,-0.884062943509136,0,0,0,0,0,,,,,,,,
